"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Denmark","Both sexes","89","89.49168","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Denmark","Male","113","113.03600","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Denmark","Female","68","67.70708","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Denmark","Both sexes","91","90.86849","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Denmark","Male","112","112.49910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Denmark","Female","68","68.13509","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Denmark","Both sexes","91","90.78635","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Denmark","Male","104","104.39950","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Denmark","Female","66","65.95990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Denmark","Both sexes","86","85.55875","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Denmark","Male","104","103.84560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Denmark","Female","64","64.20818","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Denmark","Both sexes","84","84.40015","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Denmark","Male","102","101.92840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Denmark","Female","62","62.43843","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Denmark","Both sexes","83","82.55162","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Denmark","Male","96","95.63663","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Denmark","Female","59","58.99335","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Denmark","Both sexes","78","77.60850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Denmark","Male","91","91.34636","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Denmark","Female","57","57.41823","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Denmark","Both sexes","75","74.62379","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Denmark","Male","89","89.13323","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Denmark","Female","54","54.27532","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Denmark","Both sexes","72","71.93899","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Denmark","Male","85","85.13687","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Denmark","Female","51","51.19083","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Denmark","Both sexes","68","68.37126","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Denmark","Male","81","81.30594","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Denmark","Female","51","50.87260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Denmark","Both sexes","66","66.27364","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Denmark","Male","81","80.72219","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Denmark","Female","49","48.95554","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Denmark","Both sexes","65","65.03622","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Dominican Republic","Male","255","254.95390","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Dominican Republic","Female","167","167.41620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Dominican Republic","Both sexes","212","212.40860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Dominican Republic","Male","257","257.09720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Dominican Republic","Female","169","168.71560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Dominican Republic","Both sexes","214","214.09850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Dominican Republic","Male","258","258.19110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Dominican Republic","Female","169","169.05360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Dominican Republic","Both sexes","215","214.77760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Dominican Republic","Male","259","258.89130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Dominican Republic","Female","169","169.03270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Dominican Republic","Both sexes","215","215.08080","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Dominican Republic","Male","262","262.14780","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Dominican Republic","Female","171","170.76220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Dominican Republic","Both sexes","218","217.56690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Dominican Republic","Male","257","256.83350","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Dominican Republic","Female","166","166.13140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Dominican Republic","Both sexes","213","212.52410","","",""
