"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Americas","Upper-middle-income","Grenada","9.50","9.49705","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Americas","Upper-middle-income","Grenada","10.98","10.97544","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Americas","Upper-middle-income","Grenada","10.98","10.97839","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Americas","Upper-middle-income","Grenada","10.56","10.56278","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Americas","Upper-middle-income","Grenada","11.42","11.42228","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Americas","Upper-middle-income","Grenada","9.81","9.80812","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Americas","Upper-middle-income","Grenada","9.21","9.21309","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","1995","Americas","Lower-middle-income","Guatemala","14.96","14.95740","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","1996","Americas","Lower-middle-income","Guatemala","14.94","14.94398","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","1997","Americas","Lower-middle-income","Guatemala","15.05","15.05052","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","1998","Americas","Lower-middle-income","Guatemala","13.14","13.14116","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","1999","Americas","Lower-middle-income","Guatemala","12.79","12.78756","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","2000","Americas","Lower-middle-income","Guatemala","14.42","14.41523","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","2001","Americas","Lower-middle-income","Guatemala","14.35","14.34956","","",""
"General government expenditure on health as a percentage of total government expenditure","Guatemala note","Published","2002","Americas","Lower-middle-income","Guatemala","14.70","14.70056","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","High-income","Greece","9.35","9.35084","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","High-income","Greece","9.59","9.59485","","",""
